run_id,split,middle_route_duration_s,middle_route_ground_speed_m_s,median_radial_ground_speed_m_s,median_target_ground_speed_m_s,median_lean_deg,lean_near_30deg_fraction,median_altitude_delta_m,n_middle_position_samples
pipeline-0124-run-001,train,31.090075423889914,9.998282349173158,10.011213680849844,10.010882461103133,18.140436953305965,0.0,-0.0090484619140625,311
pipeline-0125-run-001,validation,39.455558263757894,9.07752406594262,9.094004941357507,10.512707535507541,29.99654485542612,1.0,-0.003597259521484375,394
pipeline-0126-run-001,train,63.45691460195735,10.004447237877992,10.016580950423139,10.01539583648857,18.500963413108227,0.0,-0.00165557861328125,635
pipeline-0127-run-001,train,36.82543076122593,9.998571632927737,10.012777166662369,10.011633971552493,26.27307595826066,0.0,-0.018810272216796875,368
pipeline-0128-run-001,test,62.513541556585665,10.004718717515846,10.015298974804807,10.013915803772715,26.528680967940268,0.0,-0.010478973388671875,625
pipeline-0129-run-001,validation,25.972920107324995,9.994744395420724,10.010969609097074,10.012269651041818,28.038952529220616,0.0,-0.0061817169189453125,260
pipeline-0130-run-001,train,72.50778275038533,10.006155661162467,10.00741814788509,10.006752635813697,14.91719495691879,0.0,-0.015216827392578125,725
pipeline-0131-run-001,train,23.727034175244256,9.993729902639942,10.00024756306911,10.004406184411417,16.1618337548587,0.0,-0.010200500488288355,237
pipeline-0132-run-001,train,21.2534429378058,9.990786257797815,10.011173078499478,10.017763653870626,22.395040657319534,0.0,-0.013408660888657664,212
pipeline-0133-run-001,train,54.2211098920005,10.001686703171861,10.014776233154553,10.015195469482155,25.117102536739026,0.0,-0.007781982421875,542
pipeline-0134-run-001,test,64.61414087299741,10.004224721671262,10.01844021974264,10.018211242000229,28.329892033332623,0.0,-0.00110626220703125,647
pipeline-0135-run-001,train,61.93538832888285,10.004041669798841,10.012452389264995,10.011391815897897,25.226176257938896,0.0,-0.00750732421875,619
pipeline-0136-run-001,train,45.29238090964202,9.99855417411658,10.012541688264056,10.011864653002498,23.986615080205713,0.0,-0.01003265380859375,453
pipeline-0137-run-001,train,69.06086128365232,10.00513852548896,10.018046787184424,10.017598473756735,25.252519065403447,0.0,-0.0059986114501953125,690
pipeline-0138-run-001,train,18.05128258519366,9.982987783668813,10.008582088295938,10.016237626380672,25.936207234469606,0.0,-0.011074066162109375,180
pipeline-0139-run-001,train,82.47810758229326,10.007932524539962,10.006516364043343,10.005311985381482,25.137748520221393,0.0,-0.006320953369154836,824
pipeline-0140-run-001,validation,66.99525277770869,10.004009157393115,10.020411637016604,10.021446285136133,20.311316586065566,0.0,-0.00344085693359375,670
pipeline-0141-run-001,train,65.85496141899085,9.286151562976746,9.303432074262604,10.518336096329248,29.991874817963275,1.0,-0.00992584228515625,659
pipeline-0142-run-001,validation,107.8558252747581,7.267946312457277,7.269930990016237,10.49932438752381,29.999389668194507,1.0,-0.0074005126953125,1079
pipeline-0143-run-001,train,37.656803940067846,9.998620895648902,10.00703880898478,10.005823510011433,29.40033214026989,0.1246684350132626,-0.01665496826171875,377
pipeline-0144-run-001,train,63.11685721174874,10.003647977608802,10.018579546058643,10.018183471541757,28.006096262108127,0.0,-0.0095977783203125,631
pipeline-0145-run-001,train,50.07525409204652,10.000121617625792,10.015326512825574,10.015073639630211,26.938169061423622,0.0,-0.01214599609373579,501
pipeline-0146-run-001,train,70.1280943620012,10.005420187082935,10.02350690403396,10.022941869390362,29.475575790697395,0.37089871611982883,-0.01509475708008523,701
