run_id,variant,model,architecture,seed,parameters,selected_epoch,train_mae_mah,validation_mae_mah,validation_rmse_mah,validation_max_underprediction_mah,validation_high_headwind_mae_mah
f3_cubic_learned__neural__128-64__20260925,f3_cubic_learned,neural,128-64,20260925.0,13953.0,561.0,6.580227654186624,35.00484866504656,80.19003901934192,408.50070499494586,69.5668945240906
f3_cubic_learned__neural__128-64__20260926,f3_cubic_learned,neural,128-64,20260926.0,13953.0,471.0,10.288599785919454,38.084671924003004,79.04661174805547,398.5368244716424,79.8684615666494
f3_cubic_learned__neural__128__20260924,f3_cubic_learned,neural,128,20260924.0,5761.0,571.0,4.593064571322764,31.76736363933817,60.72903333948162,283.26141228955294,57.44522338744812
f3_cubic_learned__neural__128__20260925,f3_cubic_learned,neural,128,20260925.0,5761.0,527.0,24.252849833405154,44.80255643774644,74.51191643059124,343.22844266310767,75.5636609308489
f3_cubic_learned__neural__128__20260926,f3_cubic_learned,neural,128,20260926.0,5761.0,396.0,5.660106078983807,41.1815263072033,77.2537944910577,370.82080154602227,79.0222947970027
f3_cubic_learned__neural__16-16-16-16-16-16-16-16-16-16__20260924,f3_cubic_learned,neural,16-16-16-16-16-16-16-16-16-16,20260924.0,3169.0,599.0,8.487775565727818,61.63269795091932,121.65788913871305,543.7400081091464,121.10052506488691
f3_cubic_learned__neural__16-16-16-16-16-16-16-16-16-16__20260925,f3_cubic_learned,neural,16-16-16-16-16-16-16-16-16-16,20260925.0,3169.0,304.0,20.56742405903411,142.7262860955359,201.66296414902757,752.2434590248499,187.5385407191204
f3_cubic_learned__neural__16-16-16-16-16-16-16-16-16-16__20260926,f3_cubic_learned,neural,16-16-16-16-16-16-16-16-16-16,20260926.0,3169.0,582.0,12.489140279099665,59.248138436311386,95.01880110459507,357.93592843052147,98.0389810778072
f3_cubic_learned__neural__16-16-16-16-16__20260924,f3_cubic_learned,neural,16-16-16-16-16,20260924.0,1809.0,600.0,8.690765591399696,37.96705812659251,76.13815686335658,413.3520174345331,68.30178201628793
f3_cubic_learned__neural__16-16-16-16-16__20260925,f3_cubic_learned,neural,16-16-16-16-16,20260925.0,1809.0,595.0,6.955372405175345,59.34969447532257,109.90599969759428,529.8742155141153,104.47985848382288
f3_cubic_learned__neural__16-16-16-16-16__20260926,f3_cubic_learned,neural,16-16-16-16-16,20260926.0,1809.0,231.0,8.137045947426206,81.90537006136562,126.02277493375448,425.9580076732208,114.34308244406323
f3_cubic_learned__neural__16__20260924,f3_cubic_learned,neural,16,20260924.0,721.0,532.0,7.1417208216645385,55.419650077103036,73.07607533040576,143.4570074054809,71.12715723646474
f3_cubic_learned__neural__16__20260925,f3_cubic_learned,neural,16,20260925.0,721.0,597.0,6.714254850895779,59.159371810017305,94.84798775284366,360.1730120412258,104.56810877663418
f3_cubic_learned__neural__16__20260926,f3_cubic_learned,neural,16,20260926.0,721.0,594.0,5.221019465531197,81.1199058040824,129.07274010997168,571.7855227409254,149.74915881096143
f3_cubic_learned__neural__256__20260924,f3_cubic_learned,neural,256,20260924.0,11521.0,589.0,8.884537712111115,34.049938892761915,78.64563377016044,408.27185016269914,71.29628679704875
f3_cubic_learned__neural__256__20260925,f3_cubic_learned,neural,256,20260925.0,11521.0,556.0,24.471430969340545,38.03072165718457,56.0986907020862,176.45341284461847,78.10222043214308
f3_cubic_learned__neural__256__20260926,f3_cubic_learned,neural,256,20260926.0,11521.0,452.0,13.226413502515962,37.49987420444513,65.0277707665339,296.1961896601133,77.1659155014945
