variant,architecture,parameters,mean_train_mae_mah,mean_validation_mae_mah,min_validation_mae_mah,max_validation_mae_mah,mean_high_headwind_mae_mah,mean_max_underprediction_mah,seed_range_mah,train_validation_gap_mah
f1_fixed_time,64,2497.0,4.784359252864195,61.84642067374195,50.42426262787401,71.80482106888445,123.0057925797717,435.62421837705807,21.380558441010443,57.06206142087776
f1_learned_speed_time,1024,40961.0,15.107186710036013,53.224804857722724,41.33311095454227,72.62424810688002,98.16385430135279,356.753504626399,31.291137152337747,38.11761814768671
f1_learned_speed_time,128-64-32-16,15873.0,9.612487870150524,49.859621799570384,46.88812870242198,52.53158960317722,111.18348368573413,502.1934879577698,5.643460900755237,40.24713392941986
f1_learned_speed_time,128-64-32,15361.0,8.51341866908252,51.49533327370711,50.07726191782503,52.68428705066768,105.73638413924319,478.21839441843923,2.607025132842651,42.98191460462459
f1_learned_speed_time,128-64,13313.0,6.800782350224061,54.14087809401794,52.422289653815675,55.01106770267177,115.61555076030383,513.9567600248573,2.588778048856092,47.34009574379388
f1_learned_speed_time,128,5121.0,9.657048441618452,56.42688471550878,47.05608374021256,62.205360582157404,113.05151602744375,425.97898783703886,15.149276841944847,46.76983627389033
f1_learned_speed_time,16-16-16-16-16-16-16-16-16-16,3089.0,62.02110175972788,249.527994002106,132.50652377116413,424.26564636187334,354.5430182171663,801.7231865867565,291.75912259070924,187.50689224237811
f1_learned_speed_time,16-16-16-16-16,1729.0,7.497978373272151,65.38066763559272,49.809890703463694,86.06111207720863,121.3462768017427,561.8072902911566,36.25122137374494,57.88268926232057
f1_learned_speed_time,16,641.0,6.817906438066429,63.04102813878128,49.72630098903624,70.55978892631464,118.36861799899407,385.3330801644938,20.8334879372784,56.22312170071485
f1_learned_speed_time,256,10241.0,9.63120126197048,43.24877860590819,40.781382896871236,47.333498213056096,86.29930754091644,397.39957787233305,6.55211531618486,33.61757734393771
f1_learned_speed_time,32-16,1793.0,6.270966421603236,80.44405456604595,71.02067333521501,86.0247489318246,165.25162737442812,565.9869417599567,15.004075596609596,74.17308814444272
f1_learned_speed_time,32,1281.0,4.108981016255705,64.22950766335349,53.77456873360665,72.13498011559417,115.96719903884927,399.1381738939893,18.360411381987525,60.12052664709778
f1_learned_speed_time,512,20481.0,17.682342330829986,52.122343055546764,42.127708246442054,65.12727892719096,103.9797597736607,395.59992600392815,22.999570680748903,34.44000072471678
f1_learned_speed_time,64-32-16,5121.0,6.693172128946531,56.6588264444481,53.47566339920308,58.87818866186056,117.03416765051169,517.3315438554077,5.402525262657484,49.965654315501574
f1_learned_speed_time,64-32,4609.0,5.347214897329138,57.125371280631214,48.20319721976329,65.85292700795615,117.80808895695128,467.5172241353912,17.649729788192865,51.778156383302075
f1_learned_speed_time,64,2561.0,5.203349612750977,57.12780905643922,47.730035785085434,68.81482708153378,112.01793752285239,476.1798442593302,21.084791296448344,51.92445944368824
f1_original,1024,38913.0,9.787802066246249,56.66944864151643,48.1929786581964,61.70799546801167,121.56987013522429,449.32498797142733,13.515016809815265,46.88164657527018
f1_original,128-64-32-16,15617.0,7.314700478235989,58.85565333727612,55.1501061315341,60.72128836328918,128.73757343332025,572.917221792001,5.571182231755081,51.540952859040125
f1_original,128-64-32,15105.0,11.183498492940169,60.911832933544986,57.177905151518885,66.01899170841943,132.6233324324638,571.2954483957125,8.84108655690055,49.72833444060482
f1_original,128-64,13057.0,9.157811316545867,64.40609528309538,58.69713364944679,67.78378289632873,139.15042465627258,583.3502425326184,9.08664924688194,55.248283966549515
f1_original,128,4865.0,8.601987276351855,63.497971439870845,50.530274662953644,82.5412340189183,135.95325893852404,494.62754458687414,32.01095935596466,54.89598416351899
f1_original,16-16-16-16-16-16-16-16-16-16,3057.0,137.3213056389873,365.2249775812738,285.7608220662032,459.9859150134871,541.5081876546275,1384.4763329410682,174.22509294728388,227.90367194228648
f1_original,16-16-16-16-16,1697.0,6.208966825159678,134.20333395538762,95.10423413873907,190.95844933938127,214.97768094370724,679.4214917126377,95.8542152006422,127.99436713022794
f1_original,16,609.0,6.298663934992189,79.9669391758895,68.45990803831705,90.19068713821025,142.88316658160414,454.85617783225325,21.730779099893198,73.6682752408973
f1_original,256,9729.0,11.855066908741717,54.86837905139578,52.97554666883316,58.069891026795844,114.51338916045036,488.8574099324954,5.094344357962683,43.01331214265406
f1_original,32-16,1729.0,6.394204704392171,81.14380967297238,68.22508541520469,106.05403442166411,165.3687056635973,557.8430393913018,37.828949006459425,74.74960496858021
f1_original,32,1217.0,4.607532951818084,83.01459561100607,73.58912012988836,98.90810298923846,166.4077813393342,472.2907455248428,25.3189828593501,78.40706265918799
f1_original,512,19457.0,10.00025919304279,52.688801942725114,50.534214208085444,53.79076298358338,114.40922942925947,491.6695719228289,3.256548775497933,42.68854274968233
f1_original,64-32-16,4993.0,7.655764030910835,64.6220140729712,59.5645855148106,69.83716245286787,135.3313684450818,551.8487378016471,10.27257693805727,56.96625004206036
f1_original,64-32,4481.0,6.229473636177983,62.33002223604927,56.044565238295746,66.72075685821004,131.3378211164858,516.6213036205435,10.676191619914292,56.10054859987128
f1_original,64,2433.0,6.325814814898416,66.86821015509169,64.39454979258525,68.96968261427864,132.4353728087128,443.65083786454426,4.575132821693387,60.54239534019327
f2_corrected_fixed,1024,48129.0,13.165956449308958,46.642135173019206,42.53336495186765,54.232959867668576,96.9870099921676,423.1547795952818,11.69959491580093,33.47617872371025
f2_corrected_fixed,128-64-32-16,16769.0,13.095872423663444,50.24020775492536,42.29122828187943,60.32030544595653,108.61107257250667,490.42855101389233,18.0290771640771,37.144335331261914
f2_corrected_fixed,128-64-32,16257.0,11.012769483751063,42.23526990157162,40.78351595029268,44.69830251861304,90.07496840351708,437.929197219677,3.914786568320359,31.222500417820555
