variable,bin,model,n_flights,small_sample_warning,mae_mah,mean_signed_error_mah,mean_underprediction_mah,p95_underprediction_mah
true_wind_speed,high,ridge__f1_vehicle_symptoms,13,False,123.17143488463745,43.06726279803367,40.052086043301884,193.86365436656524
true_wind_speed,mid,ridge__f1_vehicle_symptoms,17,False,39.82228391824933,-10.161026774667175,24.991655346458256,103.58763046537044
true_wind_speed,low,ridge__f1_vehicle_symptoms,9,False,47.06337429054916,-0.0006666756436415097,23.532020483096403,62.81282442254263
true_wind_speed,high,neural_network__f1_vehicle_symptoms,13,False,90.49913149776741,18.172290795417787,36.163420351174814,162.76926789915134
true_wind_speed,mid,neural_network__f1_vehicle_symptoms,17,False,35.75590124204007,2.301294251143103,16.72730349544848,46.19083715976598
true_wind_speed,low,neural_network__f1_vehicle_symptoms,9,False,20.116247951844166,-1.1950613194059718,10.65565463562507,44.34561675061698
true_wind_speed,high,xgboost__f1_vehicle_symptoms,13,False,92.13153854535024,10.012837769253128,41.05935038804856,180.95292236328103
true_wind_speed,mid,xgboost__f1_vehicle_symptoms,17,False,61.26008732211082,-31.681696696042636,46.470892009076735,167.85645996093734
true_wind_speed,low,xgboost__f1_vehicle_symptoms,9,False,28.618843756781708,5.327874586317307,11.6454845852322,45.80553131103515
true_wind_speed,high,ridge__f2_physics_informed,13,False,54.68701092290015,1.2505136089297717,26.71824865698519,117.02226926575568
true_wind_speed,mid,ridge__f2_physics_informed,17,False,17.031170680954794,-5.14451424447949,11.087842462717143,34.67046012920024
true_wind_speed,low,ridge__f2_physics_informed,9,False,23.28239240827007,-6.0340706294172035,14.658231518843637,43.85167714712527
true_wind_speed,high,neural_network__f2_physics_informed,13,False,40.094900231429854,-23.51149117121004,31.803195701319947,107.35090037085007
true_wind_speed,mid,neural_network__f2_physics_informed,17,False,34.173441741183204,1.0989439901324043,16.5372488755254,53.932133955540195
true_wind_speed,low,neural_network__f2_physics_informed,9,False,29.136101321812564,-3.161967738296236,16.1490345300544,40.10091786406956
true_wind_speed,high,xgboost__f2_physics_informed,13,False,56.124837824196376,-5.179404192886295,30.652121008541336,113.38161376953096
true_wind_speed,mid,xgboost__f2_physics_informed,17,False,44.890547387137495,-11.358099068515063,28.12432322782628,113.68602050781234
true_wind_speed,low,xgboost__f2_physics_informed,9,False,33.22795121934679,-9.089768642849357,21.158859931098075,87.47593505859365
true_wind_speed,high,neural_network_true_wind_oracle,13,False,55.23148017243027,-0.6709519553059565,27.951216063868113,120.34678079772375
true_wind_speed,mid,neural_network_true_wind_oracle,17,False,26.106830693495823,-2.248826199548148,14.177828446521985,36.36980110069297
true_wind_speed,low,neural_network_true_wind_oracle,9,False,20.346232247816587,4.468200986566217,7.939015630625186,28.305292158555268
true_wind_speed,high,xgboost_true_wind_oracle,13,False,72.1363246406026,-3.64275492906418,37.88953978483339,138.93759521484347
true_wind_speed,mid,xgboost_true_wind_oracle,17,False,42.58176018210019,-17.650453876649255,30.11610702937472,104.58726562499979
true_wind_speed,low,xgboost_true_wind_oracle,9,False,26.636736212836354,-8.893866136338943,17.76530117458765,61.11148925781243
wind_route_regime,tailwind,training_mean,19,False,465.18131557426676,-56.36270395098717,260.7720097626269,745.8188783535433
wind_route_regime,headwind,training_mean,16,False,320.20418774470807,23.362423648977142,148.42088204786546,594.1940941128207
wind_route_regime,crosswind,training_mean,4,True,355.4662795894403,287.10298841932104,34.18164558505964,69.40491716433662
wind_route_regime,tailwind,nominal_time_x_current,19,False,253.06530182541863,-253.06530182541863,253.06530182541863,459.55669030241296
wind_route_regime,headwind,nominal_time_x_current,16,False,81.23874578839275,-7.770038161623809,44.50439197500828,142.83552630894837
wind_route_regime,crosswind,nominal_time_x_current,4,True,109.73121487750308,-109.73121487750308,109.73121487750308,126.5101320489678
wind_route_regime,tailwind,px4_style_multicopter_time_x_current,19,False,97.8518306365068,-97.8518306365068,97.8518306365068,132.67233816397112
